,详细链接,图片链接,书名,作者,评分,概述
41,https://book.douban.com/subject/1449351/,https://img9.doubanio.com/view/subject/s/public/s34099286.jpg,呐喊,鲁迅 / 人民文学出版社 / 1973-3 / 0.36元,9.1,新文学的第一声呐喊
42,https://book.douban.com/subject/3674537/,https://img9.doubanio.com/view/subject/s/public/s3745215.jpg,明朝那些事儿（1-9）,当年明月 / 中国海关出版社 / 2009-4 / 358.20元,9.2,不拘一格的历史书写
43,https://book.douban.com/subject/1054685/,https://img1.doubanio.com/view/subject/s/public/s1447349.jpg,沉默的大多数,王小波 / 中国青年出版社 / 1997-10 / 27.00元,9.1,沉默是沉默者的通行证
44,https://book.douban.com/subject/30172069/,https://img1.doubanio.com/view/subject/s/public/s29799269.jpg,失踪的孩子,[意] 埃莱娜·费兰特 / 陈英 / 人民文学出版社 / 2018-7 / 62.00元,9.2,我的整个生命，只是一场为了提升社会地位的低俗斗争。
45,https://book.douban.com/subject/26986954/,https://img9.doubanio.com/view/subject/s/public/s29376146.jpg,新名字的故事,[意] 埃莱娜·费兰特 / 陈英 / 人民文学出版社 / 2017-4 / 59.00元,9.2,探索青年时代的激情、困惑、挣扎、背叛和失去
46,https://book.douban.com/subject/1003479/,https://img1.doubanio.com/view/subject/s/public/s1067497.jpg,中国历代政治得失,钱穆 / 生活·读书·新知三联书店 / 2001 / 12.00元,9.2,一部简明的“中国政治制度史”
47,https://book.douban.com/subject/4908885/,https://img9.doubanio.com/view/subject/s/public/s4468484.jpg,局外人,[法] 阿尔贝·加缪 / 柳鸣九 / 上海译文出版社 / 2010-8 / 22.00元,9.1,人生在世，永远也不该演戏作假
48,https://book.douban.com/subject/25985021/,https://img2.doubanio.com/view/subject/s/public/s27814883.jpg,人类简史,[以色列] 尤瓦尔·赫拉利 / 林俊宏 / 中信出版社 / 2014-11 / 68.00元,9.1,跟着人类一同走过十万年
49,https://book.douban.com/subject/1008145/,https://img2.doubanio.com/view/subject/s/public/s1070222.jpg,围城,钱锺书 / 人民文学出版社 / 1991-2 / 19.00,9.0,幽默的语言和对生活深刻的观察
50,https://book.douban.com/subject/4820710/,https://img1.doubanio.com/view/subject/s/public/s4371408.jpg,1984,[英] 乔治·奥威尔 / 刘绍铭 / 北京十月文艺出版社 / 2010-4-1 / 28.00,9.4,栗树荫下，我出卖你，你出卖我
